RecordNo,endtime,qweek,Gender,age,region,household_size,household_children,employment_status,i1_health,i2_health,i7a_health,i3_health,i4_health,i5_health_1,i5_health_2,i5_health_3,i5_health_4,i5_health_5,i5_health_99,i5a_health,i6_health,i7b_health,i8_health,i9_health,i10_health,i11_health,i12_health_1,i12_health_2,i12_health_3,i12_health_4,i12_health_5,i12_health_6,i12_health_7,i12_health_8,i12_health_9,i12_health_10,i12_health_11,i12_health_12,i12_health_13,i12_health_14,i12_health_15,i12_health_16,i12_health_17,i12_health_18,i12_health_19,i12_health_20,i13_health,i14_health_1,i14_health_2,i14_health_3,i14_health_4,i14_health_5,i14_health_6,i14_health_7,i14_health_8,i14_health_9,i14_health_10,i14_health_96,i14_health_98,i14_health_99,i14_health_other,d1_health_1,d1_health_2,d1_health_3,d1_health_4,d1_health_5,d1_health_6,d1_health_7,d1_health_8,d1_health_9,d1_health_10,d1_health_11,d1_health_12,d1_health_13,d1_health_98,d1_health_99,weight
1921,2020-04-01 17:42:16,week 1,Male,37,South East,4,2,Full time employment,3,2,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Not at all,Always,Not at all,Always,Not at all,Frequently,Not at all,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,Not at all,Not at all,Sometimes,Sometimes,17,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.865465769751
1922,2020-04-01 17:42:33,week 1,Male,43,Scotland,3,2,Full time employment,3,0,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Always,Frequently,Sometimes,Sometimes,Not at all,Not at all,Not at all,Not at all,Always,Frequently,Frequently,Frequently,Always,Frequently,Not at all,Not at all,Sometimes,Rarely,25,No,No,No,Yes,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.70637839843
1923,2020-04-01 17:46:02,week 1,Female,45,South East,2,0,Full time employment,1,12,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Sometimes,Always,Always,Always,Always,Always,Always, ,Not at all,Always,Always,Always,Always,Frequently,Always,Not at all,Always,Always,20,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1.02843110698
1924,2020-04-01 17:46:11,week 1,Female,33,West Midlands,2,2,Full time employment,1,2,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat difficult,Somewhat willing,Frequently,Always,Frequently,Always,Always,Frequently,Always,Always,Not at all,Always,Always,Always,Always,Always,Always,Frequently,Not at all,Not at all,Always,Always,20,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.843568103346
1925,2020-04-01 17:46:46,week 1,Male,39,South West,3,1,Full time employment,2,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat difficult,Very willing,Not at all,Frequently,Sometimes,Always,Always,Frequently,Always,Always,Sometimes,Always,Always,Always,Always,Always,Always,Sometimes,Not at all,Not at all,Rarely,Sometimes,6,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Fuel cards support,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.659828655964
1926,2020-04-01 17:47:04,week 1,Male,30,London,2,0,Full time employment,0,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very difficult,Somewhat unwilling,Not at all,Always,Always,Always,Always,Always,Rarely,Rarely,Always, ,Always,Always,Always,Always,Always,Rarely,Always,Always,Rarely,Rarely,10,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1.30720625655
1928,2020-04-01 17:49:05,week 1,Male,38,South West,5,0,Full time student,6,10,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Always,Always,Always,Frequently,Always,Always, , ,Frequently,Always,Always,Always,Sometimes,Sometimes,Not at all,Not at all,Frequently,Frequently,8, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.676727079995
1929,2020-04-01 17:52:22,week 1,Male,58,East of England,1,0,Other,0,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Sometimes,Always,Not at all,Always,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Always,Not at all,Always,Always,Always,20, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,.777353983295
1930,2020-04-01 17:53:09,week 1,Female,64,West Midlands,3,0,Full time employment,2,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Not at all,Frequently,Always,Frequently,Always,Frequently,Not at all,Always,Always, ,Always,Always,Always,Always,Always,Always,Not at all,Not at all,Frequently,Always,10,No,Yes,No,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.809394308024
1931,2020-04-01 18:00:17,week 1,Female,28,East of England,4,2,Part time employment,4,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Not at all,Always,Always,Always,Always,Always,Not at all,Always,Always,Always,Always,Always,Always,Always,Always,Always,Not at all,Not at all,Always,Always,8,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,.934277033595
1932,2020-04-01 18:00:26,week 1,Female,33,South West,3,1,Part time employment,2,0,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat difficult,Very willing,Not at all,Always,Frequently,Always,Always,Frequently,Always,Always,Always,Not at all,Always,Always,Always,Always,Always,Frequently,Not at all,Not at all,Frequently,Always,10,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,.703470278624
1933,2020-04-01 18:01:11,week 1,Female,56,Wales,2,0,Retired,1,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Always,Always,Always,Always,Not at all,Always, , ,Always,Always,Always,Always,Always,Always,Not at all,Not at all,Always,Always,20, , , , , , , , , , , , , ,__NA__,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,.654422509569
1934,2020-04-01 18:02:57,week 1,Male,44,South East,2,0,Full time employment,1,5,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Rarely,Always,Frequently,Sometimes,Always,Always,Always, ,Frequently,Frequently,Frequently,Always,Frequently,Frequently,Not at all,Not at all,Sometimes,Sometimes,7,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.954369416844
1935,2020-04-01 18:03:43,week 1,Female,77,South East,2,0,Retired,1,0,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Frequently,Always,Always,Always,Frequently,Frequently,Always, , ,Always,Always,Always,Always,Always,Frequently,Always,Always,Frequently,Always,9, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,2.57896900021
1936,2020-04-01 18:03:43,week 1,Female,39,North East,2,0,Full time employment,1,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Not at all,Frequently,Sometimes,Frequently,Always,Frequently,Not at all,Always,Frequently, ,Always,Always,Always,Always,Always,Sometimes,Not at all,Not at all,Frequently,Frequently,10,No,No,No,Yes,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.606010796797
1937,2020-04-01 18:05:04,week 1,Female,29,London,2,0,Full time employment,1,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Always,Always,Always,Always,Always,Always,Sometimes, ,Always,Always,Always,Always,Always,Frequently,Not at all,Rarely,Frequently,Always,5,No,No,No,No,No,No,No,No,Yes,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,1.0239813206
1938,2020-04-01 18:06:59,week 1,Female,27,East of England,2,0,Full time employment,1,20,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Not at all,Frequently,Sometimes,Always,Always,Always,Not at all,Always,Not at all, ,Frequently,Sometimes,Frequently,Always,Frequently,Always,Not at all,Not at all,Rarely,Sometimes,20,No,No,No,Yes,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.958204168819
1939,2020-04-01 18:07:43,week 1,Female,34,North West,3,1,Full time employment,2,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Not at all,Frequently,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,15,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__, , , , , , , , , , , , , , , ,.849297795862
1940,2020-04-01 18:07:50,week 1,Male,44,Scotland,3,0,Full time employment,2,0,2,"No, I have not","No, they have not",Yes,No,No,No,No,No,No,Not at all,No,No,Yes,Very easy,Very willing,Not at all,Always,Always,Always,Always,Frequently,Always,Always,Not at all, ,Always,Always,Always,Always,Always,Sometimes,Not at all,Rarely,Always,Always,10,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Gardener,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,.752037235203
1941,2020-04-01 18:08:08,week 1,Female,24,London,3,0,Part time employment,2,0,0,"No, I have not","No, they have not",No,Yes,No,No,No,No,No,Sometimes,Yes,No,No,Somewhat difficult,Somewhat unwilling,Frequently,Frequently,Frequently,Frequently,Frequently,Rarely,Frequently,Frequently,Frequently, ,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,3,No,No,Yes,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1.06294693962
1942,2020-04-01 18:08:48,week 1,Male,59,Yorkshire and the Humber,1,0,Full time employment,0,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Frequently,Not at all,Always,Frequently,Frequently,Not at all,Always,Always, ,Always,Always,Always,Always,Frequently,Always,Not at all,Not at all,Sometimes,Sometimes,15,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.690490074932
1943,2020-04-01 18:10:51,week 1,Female,57,London,1,0,Full time employment,0,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat difficult,Somewhat willing,Not at all,Always,Not at all,Always,Always,Frequently,Always,Always,Always, ,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,Always,30,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.904769200745
1944,2020-04-01 18:11:30,week 1,Female,44,South East,4,2,Part time employment,3,1,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat difficult,Very willing,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,Rarely,Not at all,Always,Always,10,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1.00275034816
1945,2020-04-01 18:11:36,week 1,Female,25,Northern Ireland,5,0,Not working,4,0,1,"No, I have not","No, they have not",Yes,No,No,No,No,No,Not sure,Always,No,No,Yes,Very easy,Very willing,Not at all,Frequently,Frequently,Always,Sometimes,Frequently,Always,Always, , ,Always,Always,Always,Always,Always,Frequently,Not at all,Not at all,Always,Always,10, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1.0648268834
1946,2020-04-01 18:12:05,week 1,Male,49,South West,3,1,Full time employment,2,4,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Not at all,Always,Frequently,Always,Always,Always,Always,Always,Rarely,Always,Always,Always,Always,Always,Always,Frequently,Not at all,Not at all,Always,Frequently,30,No,No,No,Yes,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.700935795734
1947,2020-04-01 18:13:23,week 1,Female,53,North West,2,0,Full time employment,1,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Not at all,Always,Frequently,Always,Always,Frequently,Always,Always,Always, ,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,Always,12,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,.855063822633
1948,2020-04-01 18:13:32,week 1,Female,62,Wales,3,0,Part time employment,2,2,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Not at all,Frequently,Sometimes,Frequently,Always,Frequently,Frequently,Always,Always, ,Always,Always,Always,Always,Always,Frequently,Not at all,Sometimes,Sometimes,Frequently,10,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.639649511697
1949,2020-04-01 18:14:42,week 1,Female,21,North East,Prefer not to say,0,Part time employment,2,0,1,"No, I have not",Not sure,No,No,No,No,No,Yes, , , , ,Not sure,Somewhat difficult,Somewhat willing,Not at all,Always,Sometimes,Frequently,Frequently,Sometimes,Always,Always,Frequently, ,Frequently,Frequently,Frequently,Always,Frequently,Sometimes,Not at all,Not at all,Always,Sometimes,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.716791215482
1950,2020-04-01 18:16:46,week 1,Male,66,North East,2,0,Retired,1,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Always,Always,Always,Sometimes,Always,Always, , ,Always,Always,Always,Always,Always,Sometimes,Not at all,Not at all,Always,Always,7, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.63432526076
1951,2020-04-01 18:17:01,week 1,Female,62,London,2,0,Other,1,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Frequently,Always,Sometimes,Always,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Frequently,Not at all,Not at all,Always,Always,8, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1.30381601572
1952,2020-04-01 18:19:19,week 1,Female,64,North East,1,0,Retired,0,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Frequently,Always,Always,Frequently,Always,Always, , ,Always,Always,Always,Always,Always,Frequently,Always,Always,Frequently,Frequently,3, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.619045102398
1953,2020-04-01 18:19:35,week 1,Male,70,South East,2,0,Part time employment,1,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat difficult,Very willing,Not at all,Always,Always,Always,Always,Frequently,Always,Always,Always, ,Always,Always,Always,Always,Always,Frequently,Sometimes,Not at all,Always,Always,10,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,1.34788423597
1954,2020-04-01 18:21:07,week 1,Male,58,North East,2,0,Part time employment,1,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Not at all,Always,Always,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Frequently,Sometimes,Not at all,Sometimes,Always,8,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.619092269307
1955,2020-04-01 18:22:05,week 1,Male,25,North West,3,0,Full time employment,2,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very difficult,Somewhat willing,Sometimes,Always,Sometimes,Always,Sometimes,Sometimes,Frequently,Rarely,Sometimes, ,Frequently,Not at all,Rarely,Sometimes,Frequently,Sometimes,Frequently,Always,Frequently,Frequently,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,1.8771507712
1956,2020-04-01 18:22:28,week 1,Female,64,Scotland,1,0,Retired,1,50,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Always,Always,Always,Not at all,Always,Always, , ,Always,Always,Always,Always,Frequently,Not at all,Not at all,Not at all,Frequently,Frequently,10, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.941971243252
1957,2020-04-01 18:22:38,week 1,Female,42,South East,2,0,Part time employment,1,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very easy,Very willing,Rarely,Always,Always,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Not at all,Always,Frequently,Always,10,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1.02843110698
1958,2020-04-01 18:23:14,week 1,Male,66,Scotland,2,0,Retired,1,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Not at all,Frequently,Frequently,Always,Always,Frequently,Always,Always, , ,Always,Always,Always,Always,Frequently,Frequently,Not at all,Not at all,Not at all,Sometimes,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.654685466434
1959,2020-04-01 18:23:47,week 1,Male,27,Northern Ireland,3,0,Not working,3,10,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Sometimes,Always,Always,Sometimes,Always,Always, , ,Always,Always,Always,Always,Always,Rarely,Not at all,Not at all,Sometimes,Always,10, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,2.19901068541
1960,2020-04-01 18:23:50,week 1,Male,55,East Midlands,3,0,Full time employment,2,5,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very easy,Very willing,Always,Always,Sometimes,Always,Always,Frequently,Always,Always,Not at all, ,Always,Always,Always,Always,Always,Always,Not at all,Not at all,Sometimes,Always,8,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,.669155430981
1961,2020-04-01 18:25:04,week 1,Male,63,Scotland,2,0,Unemployed,1,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Not at all,Always,Always,Sometimes,Always,Always, , ,Always,Always,Always,Always,Always,Sometimes,Not at all,Not at all,Sometimes,Frequently,6, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,.965222327403
1962,2020-04-01 18:25:09,week 1,Male,54,South West,3,0,Not working,3,3,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Neither easy nor difficult,Somewhat willing,Not at all,Always,Frequently,Rarely,Always,Sometimes,Sometimes,Always, , ,Frequently,Frequently,Always,Always,Frequently,Rarely,Not at all,Not at all,Frequently,Frequently,10, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,.93478463061
1963,2020-04-01 18:25:28,week 1,Male,24,West Midlands,2,0,Full time employment,1,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Somewhat willing,Not at all,Always,Not at all,Frequently,Always,Sometimes,Always,Always,Always, ,Always,Always,Always,Always,Always,Sometimes,Rarely,Always,Sometimes,Sometimes,6,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1.39761043873
1964,2020-04-01 18:25:43,week 1,Female,34,South West,4,2,Full time employment,3,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Not at all,Frequently,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,Not at all,Not at all,Sometimes,Frequently,10,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.660760113325
1965,2020-04-01 18:27:18,week 1,Female,72,Yorkshire and the Humber,1,0,Retired,0,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Not at all,Frequently,Sometimes,Always,Always,Frequently,Always,Always, , ,Always,Always,Always,Always,Always,Frequently,Always,Always,Frequently,Frequently,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,1.39911600474
1966,2020-04-01 18:27:52,week 1,Male,18,West Midlands,3,1,Full time student,2,2,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very difficult,Somewhat willing,Not at all,Frequently,Rarely,Always,Frequently,Frequently,Always,Always, ,Not at all,Always,Always,Always,Always,Always,Frequently,Not at all,Not at all,Rarely,Not at all,15, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1.39761043873
1967,2020-04-01 18:27:57,week 1,Male,23,North East,4,0,Full time student,3,2,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Sometimes,Frequently,Frequently,Frequently,Frequently,Frequently, , ,Frequently,Always,Always,Always,Always,Frequently,Not at all,Rarely,Sometimes,Frequently,10, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1.00402920906
1968,2020-04-01 18:28:49,week 1,Female,28,South East,4,1,Unemployed,3,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Not at all,Frequently,Always,Frequently,Always,Always, ,Always,Always,Always,Always,Always,Always,Sometimes,Not at all,Not at all,Always,Frequently,10, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1.06412931139
1969,2020-04-01 18:28:50,week 1,Female,66,North West,2,2,Retired,0,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Neither easy nor difficult,Very willing,Not at all,Always,Always,Always,Always,Always,Always,Always, ,Not at all,Always,Always,Always,Always,Always,Always,Not at all,Not at all,Always,Always,30, , , , , , , , , , , , , ,__NA__,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,1.15737767477
1970,2020-04-01 18:29:40,week 1,Male,20,North East,2,0,Full time employment,1,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Not sure,Somewhat difficult,Somewhat willing,Not at all,Frequently,Frequently,Always,Always,Sometimes,Always,Always,Always, ,Always,Always,Always,Always,Always,Sometimes,Not at all,Not at all,Sometimes,Frequently,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1.00402920906
1971,2020-04-01 18:30:04,week 1,Female,79,North West,2,0,Retired,1,20,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Not sure,Very willing,Not at all,Always,Always,Always,Always,Sometimes,Always,Always, , ,Always,Always,Always,Always,Always,Sometimes,Frequently,Not at all,Sometimes,Frequently,10, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,1.69360352469
1972,2020-04-01 18:31:01,week 1,Female,57,Scotland,2,0,Full time employment,1,3,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Somewhat easy,Neither willing nor unwilling,Not at all,Frequently,Rarely,Always,Rarely,Not at all,Not at all,Not at all,Frequently, ,Always,Rarely,Always,Always,Not at all,Rarely,Not at all,Not at all,Rarely,Not at all,6,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.678545060108
1973,2020-04-01 18:31:15,week 1,Male,28,Yorkshire and the Humber,4,1,Unemployed,3,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Neither easy nor difficult,Somewhat willing,Not at all,Always,Always,Always,Always,Frequently,Always,Always, ,Always,Always,Always,Always,Always,Frequently,Frequently,Always,Always,Frequently,Frequently,4, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1.5507476508
1974,2020-04-01 18:31:20,week 1,Male,71,North West,2,0,Part time employment,1,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Neither easy nor difficult,Very willing,Not at all,Always,Frequently,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Frequently,Not at all,Not at all,Always,Frequently,20,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1.30500711807
1975,2020-04-01 18:31:23,week 1,Male,33,East Midlands,2,0,Full time employment,1,0,0,"No, I have not","No, they have not",Yes,No,No,No,No,No,No,Always,No,Not sure,Yes,Somewhat easy,Very willing,Not at all,Always,Not at all,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Not at all,Not at all,Sometimes,Not at all,12,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.670844285271
1976,2020-04-01 18:31:24,week 1,Female,53,North West,3,1,Part time employment,2,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Not at all,Always,Sometimes,Always,Always,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,Not at all,Not at all,Sometimes,Always,5,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Volunteer,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,.833712185502
1977,2020-04-01 18:31:24,week 1,Male,76,Scotland,4,1,Part time employment,3,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Not at all,Frequently,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Not at all,Sometimes,Always,10,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,1.06212449425
